ds,yhat
2021-10-31,45326.600412723295
2021-11-30,45773.22959457629
2021-12-31,46741.69947901515
2022-01-31,45803.693118003655
2022-02-28,47041.60293131615
2022-03-31,46015.932993643
2022-04-30,44474.45908012109
2022-05-31,43680.235918459526
2022-06-30,44813.015848520925
2022-07-31,44855.477547071314
2022-08-31,45100.178081972466
2022-09-30,44908.958305012275
2022-10-31,45089.37713514791
2022-11-30,45591.19777568987
2022-12-31,46677.53167637097
2023-01-31,45814.720045684444
2023-02-28,46751.432496380614
2023-03-31,45769.05636206025
2023-04-30,44450.35187567245
2023-05-31,43515.288347788046
2023-06-30,44721.791044809084
2023-07-31,44690.389813538655
2023-08-31,44961.22074951025
2023-09-30,44772.469952323256
2023-10-31,44852.178435319285
2023-11-30,45412.36000546686
2023-12-31,46615.5571640293
2024-01-31,45823.38026151975
2024-02-29,47033.87852630509
2024-03-31,45940.18709048497
2024-04-30,43951.892926988774
2024-05-31,43433.63683696567
2024-06-30,44416.44849324415
2024-07-31,44605.28013276914
2024-08-31,44799.12646144861
2024-09-30,44600.61346067824
2024-10-31,44986.32609408886
2024-11-30,45381.02009069028
2024-12-31,46230.78642798293
2025-01-31,45213.0828353959
2025-02-28,46750.87146602362
2025-03-31,45688.09196191759
2025-04-30,43923.33989741324
2025-05-31,43268.072935227035
2025-06-30,44326.27544829388
2025-07-31,44442.17084203312
2025-08-31,44661.20844010432
2025-09-30,44466.74277539341
2025-10-31,44749.19478758923
2025-11-30,45195.8239694427
2025-12-31,46164.293853881754
2026-01-31,45226.28749286871
